name,date,amount,comment,room_no,prop_name
Mortgage June,2020-06-01,999.00,Mortgage June,99-Expense Account,739_Campbell_Avenue
Internet June,2020-06-08,79.00,Internet June,99-Expense Account,739_Campbell_Avenue
